Symbol,Name,Exchange,Industry,SIC Description
CAT,Caterpillar Inc,NYSE,Machinery - Construct & Mining,SIC-3531 Construction Machinery & Equip
CAVA,Cava Group Inc,NYSE,Retail - Restaurants,SIC-5812 Retail-Eating Places
CB,Chubb Ltd,NYSE,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance"
CBOE,CBOE Global Markets Inc,NYSE Arca,Securities Exchanges,"SIC-6200 Security & Commodity Brokers, Dealers, Excha"
CBRE,CBRE Group Inc,NYSE,Real Estate Operations,SIC-6500 Real Estate
CBSH,Commerce Bancshares,NASDAQ,Banks - Midwest,SIC-6022 State Commercial Banks
CC,Chemours Company,NYSE,Chemical - Diversified,SIC-2800 Chemicals & Allied Products
CCCS,CCC Intelligent Solutions Hldgs Inc,NASDAQ,Insurance - Proprty & Casualty,SIC-7372 Services-Prepackaged Software
CCI,Crown Castle Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
CCK,Crown Cork & Seal Company,NYSE,Containers - Metal & Glass,SIC-3411 Metal Cans
CCL,Carnival Corp,NYSE,Leisure & Recreation Services,SIC-4400 Water Transportation
CDNS,Cadence Design Sys,NASDAQ,Computer - Software,SIC-7372 Services-Prepackaged Software
CDW,CDW Corp,NASDAQ,IT Services,SIC-5961 Retail-Catalog & Mail-Order Houses
CE,Celanese Corp,NYSE,Chemical - Specialty,"SIC-2820 Plastic Material, Synth Resin/Rubber, Cellul"
CEG,Constellation Energy Corp,NASDAQ,Other Alt Energy,SIC-4911 Electric Services
CELH,Celsius Holdings Inc,NASDAQ,Food - Misc & Diversified,SIC-2086 Bottled & Canned Soft Drinks & Carbonated Wa
CERT,Certara Inc,NASDAQ,Medical - Biomedical,SIC-7372 Services-Prepackaged Software
CF,Cf Industries Holdings,NYSE,Fertilizers,SIC-2870 Agricultural Chemicals
CFG,Citizens Financial Group Inc/Ri,NYSE,Finance - Savings & Loan,SIC-6022 State Commercial Banks
CFLT,Confluent Inc Cl A,NASDAQ,Technology Services,SIC-7372 Services-Prepackaged Software
CFR,Cullen/Frost Bankers,NYSE,Banks - Southwest,SIC-6021 National Commercial Banks
CG,The Carlyle Group,NASDAQ,Finance - Investment Funds,SIC-6282 Investment Advice
CGNX,Cognex Corp,NASDAQ,Electronic Test Equipment,"SIC-3823 Industrial Instruments For Measurement, Disp"
CHD,Church & Dwight Company,NYSE,Soap and Cleaning Products,"SIC-2840 Soap, Detergents, Cleaning Preparations, Per"
CHDN,Churchill Downs IN,NASDAQ,Gaming,"SIC-7948 Services-Racing, Including Track Operation"
CHE,Chemed Inc,NYSE,Medical - Outpatient & Hm Care,SIC-8082 Services-Home Health Care Services
CHH,Choice Hotels International,NYSE,Hotels & Motels,SIC-7011 Hotels & Motels
CHK,Chesapeake Energy Corp,NASDAQ,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
CHRD,Chord Energy Corp,NASDAQ,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
CHRW,C.H. Robinson Ww,NASDAQ,Transportation - Services,SIC-4731 Arrangement of Transportation of Freight & C
CHTR,Charter Communications Inc,NASDAQ,Cable TV,SIC-4841 Cable & Other Pay Television Services
CI,The Cigna Group,NYSE,Medical - HMO,SIC-6324 Hospital & Medical Service Plans
CIEN,Ciena Corp,NYSE,Fiber Optics,SIC-3661 Telephone & Telegraph Apparatus
CINF,Cincinnati Financial,NASDAQ,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance"
CIVI,Civitas Resources Inc,NYSE,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
CL,Colgate-Palmolive Company,NYSE,Soap and Cleaning Products,"SIC-2844 Perfumes, Cosmetics & Other Toilet Preparati"
CLF,Cleveland-Cliffs Inc,NYSE,Mining - Misc,SIC-1000 Metal Mining
CLH,Clean Harbors,NYSE,Waste Removal Svcs,SIC-4955 Hazardous Waste Management
CLVT,Clarivate Analytics Plc,NYSE,Internet - Software,SIC-7374 Services-Computer Processing & Data Preparat
CLX,Clorox Company,NYSE,Soap and Cleaning Products,"SIC-2842 Specialty Cleaning, Polishing and Sanitation"
CMA,Comerica Inc,NYSE,Banks - Major Regional,SIC-6021 National Commercial Banks
CMCSA,Comcast Corp A,NASDAQ,Cable TV,SIC-4841 Cable & Other Pay Television Services
CME,CME Group Inc,NASDAQ,Securities Exchanges,"SIC-6200 Security & Commodity Brokers, Dealers, Excha"
CMG,Chipotle Mexican Grill,NYSE,Retail - Restaurants,SIC-5812 Retail-Eating Places
CMI,Cummins Inc,NYSE,Engines - Internal Combustion,SIC-3510 Engines & Turbines
CMS,Cms Energy Corp,NYSE,Utility - Electric Power,SIC-4931 Electric & Other Services Combined
CNA,CNA Financial Corp,NYSE,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance"
CNC,Centene Corp,NYSE,Medical - HMO,SIC-6324 Hospital & Medical Service Plans
CNH,CNH Industrial N.V.,NYSE,Machinery - Farm,SIC-3531 Construction Machinery & Equip
CNM,Core & Main Inc Cl A,NYSE,Waste Removal Svcs,"SIC-5099 Wholesale-Durable Goods, NEC"
CNP,Centerpoint Energy Inc,NYSE,Utility - Electric Power,SIC-4911 Electric Services
CNXC,Concentrix Corp,NASDAQ,Business Services,"SIC-7389 Services-Business Services, NEC"
COF,Capital One Financial Corp,NYSE,Finance - Consumer Loans,SIC-6021 National Commercial Banks
COHR,Coherent Corp,NYSE,Technology Services,SIC-3827 Optical Instruments & Lenses
COIN,Coinbase Global Inc Cl A,NASDAQ,Financial Transaction Services,SIC-6199 Finance Services
COKE,Coca-Cola Consolidated Inc,NASDAQ,Beverages - Soft,SIC-2086 Bottled & Canned Soft Drinks & Carbonated Wa
COLB,Columbia Banking Sys,NASDAQ,Banks - West,SIC-6022 State Commercial Banks
COLD,Americold Realty Trust,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
COLM,Columbia Sprtswr,NASDAQ,Textile - Apparel,SIC-2300 Apparel & Other Finished Prods of Fabrics &
COO,Cooper Companies,NASDAQ,Medical - Dental Suppliers,SIC-3851 Ophthalmic Goods
COP,Conocophillips,NYSE,Oil - US Integrated,SIC-2911 Petroleum Refining
