Ticker,Name,Asset Class,Weight (%),Sector,Exchange
ASMB,ASSEMBLY BIOSCIENCES INC,Equity,0,Health Care,NASDAQ
CTBI,COMMUNITY TRUST BANCORP INC TRUST,Equity,0,Financials,NASDAQ
CBL,CBL AND ASSOCIATES PROPERTIES REIT,Equity,0,Real Estate,New York Stock Exchange Inc.
ATNX,ATHENEX INC,Equity,0,Health Care,NASDAQ
FATE,FATE THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
UTL,UNITIL CORP,Equity,0,Utilities,New York Stock Exchange Inc.
CBTX,CBTX INC,Equity,0,Financials,NASDAQ
CARO,CAROLINA FINANCIAL CORP,Equity,0,Financials,NASDAQ
ORIT,ORITANI FINANCIAL CORP,Equity,0,Financials,NASDAQ
MOV,MOVADO GROUP INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
SSP,EW SCRIPPS CLASS A,Equity,0,Communication,NASDAQ
GOV,GOVERNMENT PROPERTIES INCOME TRUST,Equity,0,Real Estate,NASDAQ
QUAD,QUAD GRAPHICS INC CLASS A,Equity,0,Industrials,New York Stock Exchange Inc.
ANIK,ANIKA THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
GRC,GORMAN-RUPP,Equity,0,Industrials,New York Stock Exchange Inc.
APTS,PREFERRED APARTMENT COMMUNITIES RE,Equity,0,Real Estate,New York Stock Exchange Inc.
TALO,TALOS ENERGY INC,Equity,0,Energy,New York Stock Exchange Inc.
INSW,INTERNATIONAL SEAWAYS INC,Equity,0,Energy,New York Stock Exchange Inc.
WRD,WILDHORSE RESOURCE DEVELOPMENT COR,Equity,0,Energy,New York Stock Exchange Inc.
ADUS,ADDUS HOMECARE CORP,Equity,0,Health Care,NASDAQ
FBK,FB FINANCIAL CORP,Equity,0,Financials,New York Stock Exchange Inc.
INTL,INTL FCSTONE INC,Equity,0,Financials,NASDAQ
KLXE,KLX ENERGY SERVICES HOLDINGS INC,Equity,0,Energy,NASDAQ
APLS,APELLIS PHARMACEUTICALS INC,Equity,0,Health Care,NASDAQ
BHBK,BLUE HILLS BANCORP INC,Equity,0,Financials,NASDAQ
EXTR,EXTREME NETWORKS INC,Equity,0,Information Technology,NASDAQ
ASNA,ASCENA RETAIL GROUP INC,Equity,0,Consumer Discretionary,NASDAQ
MDXG,MIMEDX GROUP INC,Equity,0,Health Care,NASDAQ
MCRI,MONARCH CASINO AND RESORT INC,Equity,0,Consumer Discretionary,NASDAQ
PEI,PENNSYLVANIA REAL ESTATE INVESTMEN,Equity,0,Real Estate,New York Stock Exchange Inc.
TFSL,TFS FINANCIAL CORP,Equity,0,Financials,NASDAQ
GPRE,GREEN PLAINS INC,Equity,0,Energy,NASDAQ
CBAY,CYMABAY THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
FRAC,KEANE GROUP INC,Equity,0,Energy,New York Stock Exchange Inc.
PRMW,PRIMO WATER CORP,Equity,0,Consumer Staples,NASDAQ
KOP,KOPPERS HOLDINGS INC,Equity,0,Materials,New York Stock Exchange Inc.
CVI,CVR ENERGY INC,Equity,0,Energy,New York Stock Exchange Inc.
CEVA,CEVA INC,Equity,0,Information Technology,NASDAQ
OBNK,ORIGIN BANCORP INC,Equity,0,Financials,NASDAQ
RILY,B RILEY FINANCIAL INC,Equity,0,Financials,NASDAQ
BCEI,BONANZA CREEK ENERGY INC,Equity,0,Energy,New York Stock Exchange Inc.
INO,INOVIO PHARMACEUTICALS INC,Equity,0,Health Care,NASDAQ
CWENA,NRG YIELD INC CLASS A,Equity,0,Utilities,New York Stock Exchange Inc.
AGX,ARGAN INC,Equity,0,Industrials,New York Stock Exchange Inc.
HIIQ,HEALTH INSURANCE INNOVATIONS INC C,Equity,0,Financials,NASDAQ
NX,QUANEX BUILDING PRODUCTS CORP,Equity,0,Industrials,New York Stock Exchange Inc.
TR,TOOTSIE ROLL INDUSTRIES INC,Equity,0,Consumer Staples,New York Stock Exchange Inc.
CNOB,CONNECTONE BANCORP INC,Equity,0,Financials,NASDAQ
SOI,SOLARIS OILFIELD INFRASTRUCTURE IN,Equity,0,Energy,New York Stock Exchange Inc.
TAST,CARROLS RESTAURANT GROUP INC,Equity,0,Consumer Discretionary,NASDAQ
AHH,ARMADA HOFFLER PROPERTIES REIT INC,Equity,0,Real Estate,New York Stock Exchange Inc.
CAC,CAMDEN NATIONAL CORP,Equity,0,Financials,NASDAQ
KELYA,KELLY SERVICES INC CLASS A,Equity,0,Industrials,NASDAQ
MBWM,MERCANTILE BANK CORP,Equity,0,Financials,NASDAQ
TSC,TRISTATE CAPITAL HOLDINGS INC,Equity,0,Financials,NASDAQ
TBBK,BANCORP INC,Equity,0,Financials,NASDAQ
CWH,CAMPING WORLD HOLDINGS INC CLASS A,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
HTBI,HOMETRUST BANCSHARES INC,Equity,0,Financials,NASDAQ
LRN,K12 INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
PETS,PETMED EXPRESS INC,Equity,0,Consumer Discretionary,NASDAQ
WSC,WILLSCOT CORP,Equity,0,Industrials,NASDAQ
MTRX,MATRIX SERVICE,Equity,0,Energy,NASDAQ
RGS,REGIS CORP,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
HY,HYSTER YALE MATERIALS HANDLING INC,Equity,0,Industrials,New York Stock Exchange Inc.
CENX,CENTURY ALUMINUM,Equity,0,Materials,NASDAQ
USM,UNITED STATES CELLULAR CORP,Equity,0,Communication,New York Stock Exchange Inc.
HZO,MARINEMAX INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
NXRT,NEXPOINT RESIDENTIAL TRUST INC TRU,Equity,0,Real Estate,New York Stock Exchange Inc.
UMH,UMH PROPERTIES REIT INC,Equity,0,Real Estate,New York Stock Exchange Inc.
RESI,FRONT YARD RESIDENTIAL CORP,Equity,0,Real Estate,New York Stock Exchange Inc.
HLNE,HAMILTON LANE INC CLASS A,Equity,0,Financials,NASDAQ
