Symbol,Name,Exchange,Industry,"SIC Description"
EU,"Encore Energy Corp",NASDAQ,"Mining - Misc","SIC-1090 Miscellaneous Metal Ores"
EVC,"Entravision Communications Corp",NYSE,"Broadcast - Radio & TV","SIC-4833 Television Broadcasting Stations"
EVCM,"Evercommerce Inc",NASDAQ,"Internet - Software","SIC-7372 Services-Prepackaged Software"
EVER,"Everquote Inc Cl A",NASDAQ,"Insurance - Multi Line","SIC-7370 Services-Computer Programming, Data Processi"
EVGO,"Evgo Inc",NASDAQ,"Auto - Truck Original Parts","SIC-7500 Services-Automotive Repair, Services & Parki"
EVH,"Evolent Health Inc Cl A Com",NYSE,"Internet - Software","SIC-8741 Services-Management Services"
EVLV,"Evolv Technologies Hldgs Inc",NASDAQ,"IT Services","SIC-3577 Computer Peripheral Equipment, NEC"
EVR,"Evercore Partners Inc",NYSE,"Finance - Investment Brokers","SIC-6282 Investment Advice"
EVRG,"Evergy Inc",NASDAQ,"Utility - Electric Power","SIC-4931 Electric & Other Services Combined"
EVRI,"Everi Holdings Inc",NYSE,"Business Services","SIC-7990 Services-Miscellaneous Amusement & Recreatio"
EVTC,"Evertec Inc",NYSE,"Financial Transaction Services","SIC-7374 Services-Computer Processing & Data Preparat"
EW,"Edwards Lifesciences Corp",NYSE,"Medical Instruments","SIC-3842 Orthopedic, Prosthetic & Surgical Appliances"
EWBC,"East West Bancorp",NASDAQ,"Banks - West","SIC-6022 State Commercial Banks"
EWCZ,"European Wax Center Cl A",NASDAQ,"Cosmetics & Toiletries","SIC-7200 Services-Personal Services"
EWTX,"Edgewise Therapeutics Inc",NASDAQ,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations"
EXAS,"Exact Sciences Cor",NASDAQ,"Medical - Biomedical","SIC-8071 Services-Medical Laboratories"
EXC,"Exelon Corp",NASDAQ,"Utility - Electric Power","SIC-4931 Electric & Other Services Combined"
EXEL,"Exelixis Inc",NASDAQ,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc"
EXLS,"Exlservice Holdings",NASDAQ,Outsourcing,"SIC-7389 Services-Business Services, NEC"
EXP,"Eagle Materials Inc",NYSE,"Building - CMT & CNT & AG","SIC-3241 Cement, Hydraulic"
EXPD,"Expeditors Intl",NYSE,"Transportation - Services","SIC-4731 Arrangement of Transportation of Freight & C"
EXPE,"Expedia Group Inc",NASDAQ,"Internet Commerce","SIC-4700 Transportation Services"
EXPI,"Exp Realty International",NASDAQ,"Real Estate Operations","SIC-6531 Real Estate Agents & Managers (For Others)"
EXPO,"Exponent Inc",NASDAQ,Consulting,"SIC-8742 Services-Management Consulting Services"
EXR,"Extra Space Storage Inc",NYSE,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts"
EXTR,"Extreme Networks",NASDAQ,"Computer - Networks","SIC-3576 Computer Communications Equipment"
EYE,"National Vision Holdings Inc",NASDAQ,"Medical Products","SIC-3851 Ophthalmic Goods"
EYPT,"Eyepoint Pharmaceuticals Inc",NASDAQ,"Medical - Biomedical","SIC-3826 Laboratory Analytical Instruments"
F,"Ford Motor Company",NYSE,"Auto - Domestic","SIC-3711 Motor Vehicles & Passenger Car Bodies"
FA,"First Advantage Corp",NASDAQ,"Technology Services","SIC-7389 Services-Business Services, NEC"
FAF,"First American Corp",NYSE,"Insurance - Proprty & Casualty","SIC-6361 Title Insurance"
FANG,"Diamondback Energy",NASDAQ,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas"
FARO,"Faro Tech Inc",NASDAQ,"Computer - Integrated Systems","SIC-3829 Measuring & Controlling Devices, NEC"
FAST,"Fastenal Company",NASDAQ,"Building Prds Retail - Wsale","SIC-5200 Retail-Building Materials, Hardware, Garden"
FATE,"Fate Therapeutics",NASDAQ,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc"
FBIN,"Fortune Brands Innovations Inc",NYSE,"Retail - Home Furniture","SIC-2430 Millwood, Veneer, Plywood, & Structural Wood"
FBIZ,"First Business Finan",NASDAQ,"Banks - Midwest","SIC-6022 State Commercial Banks"
FBK,"Fb Financial Corp",NYSE,"Banks - Northeast","SIC-6022 State Commercial Banks"
FBMS,"First Bancshs [Ms]",NYSE,"Banks - Southeast","SIC-6021 National Commercial Banks"
FBNC,"First Bancorp [Nc]",NASDAQ,"Banks - Southeast","SIC-6022 State Commercial Banks"
FBP,"First Bancorp",NYSE,"Banks - Southeast","SIC-6022 State Commercial Banks"
FBRT,"Franklin Bsp Realty Trust Inc",NYSE,"REIT - Mortgage Trusts","SIC-6798 Real Estate Investment Trusts"
FC,"Franklin Covey Company",NYSE,Consulting,"SIC-6162 Mortgage Bankers & Loan Correspondents"
FCBC,"First Community Bksh",NASDAQ,"Banks - Southeast","SIC-6022 State Commercial Banks"
FCEL,"Fuelcell Energy Inc",NASDAQ,"Other Alt Energy",N/A
FCF,"First Commonwealth Financial Corp",NYSE,"Banks - Northeast","SIC-6021 National Commercial Banks"
FCFS,"Firstcash Holdings Inc",NASDAQ,"Financial Transaction Services","SIC-5900 Retail-Miscellaneous Retail"
FCN,"Fti Consulting",NYSE,Consulting,"SIC-8742 Services-Management Consulting Services"
FCNCA,"First Citizens Bancs",NASDAQ,"Banks - Southeast","SIC-6022 State Commercial Banks"
FCPT,"Four Corners Property Trust IN",NYSE,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts"
FCX,"Freeport-Mcmoran Inc",NYSE,"Mining - Non Ferrous","SIC-1000 Metal Mining"
FDBC,"Fidelity D & D Bancorp Inc",NASDAQ,"Banks - Northeast","SIC-6021 National Commercial Banks"
FDMT,"4D Molecular Therapeutics Inc",NASDAQ,"Medical - Drugs","SIC-2836 Biological Products, (No Disgnostic Substanc"
FDP,"Fresh Del Monte Produce",NYSE,"Agriculture Operations","SIC-0100 Agricultural Production - Crops"
FDS,"Factset Research Systems Inc",NYSE,"Business Information","SIC-7370 Services-Computer Programming, Data Processi"
FDX,"Fedex Corp",NYSE,"Transportation - Air Freight","SIC-4513 Air Courier Services"
FE,"Firstenergy Corp",NYSE,"Utility - Electric Power","SIC-4911 Electric Services"
FELE,"Franklin Electric Company",NASDAQ,"Machinery - Electrical","SIC-3621 Motors & Generators"
FERG,"Ferguson Enterprises Inc",NYSE,"Machinery - General Industrial","SIC-5070 Wholesale-Hardware & Plumbing & Heating Equi"
FFBC,"First Finl Bncp [Oh]",NASDAQ,"Banks - Midwest","SIC-6021 National Commercial Banks"
FFIC,"Flushing Finl Corp",NASDAQ,"Finance - Savings & Loan","SIC-6022 State Commercial Banks"
FFIN,"First Finl Bkshs Inc",NASDAQ,"Banks - Southwest","SIC-6022 State Commercial Banks"
FFIV,"F5 Inc",NASDAQ,"Internet - Software","SIC-3576 Computer Communications Equipment"
FFWM,"First Foundation",NYSE,"Banks - Southwest","SIC-6022 State Commercial Banks"
FG,"F&G Annuities & Life Inc",NYSE,"Insurance - Life","SIC-6311 Life Insurance"
FHB,"First Hawaiian Inc",NASDAQ,"Banks - West","SIC-6022 State Commercial Banks"
FHN,"First Horizon Corp",NYSE,"Banks - Southwest","SIC-6021 National Commercial Banks"
FI,"Fiserv Inc",NYSE,"Financial Transaction Services","SIC-7389 Services-Business Services, NEC"
FIBK,"First Interstate Ban",NASDAQ,"Banks - Midwest","SIC-6022 State Commercial Banks"
FICO,"Fair Isaac and Company",NYSE,"IT Services","SIC-7389 Services-Business Services, NEC"
FIGS,"Figs Inc Cl A",NYSE,"Retail - Apparel & Shoes","SIC-2300 Apparel & Other Finished Prods of Fabrics &"
FIHL,"Fidelis Insurance Holdings Limited",NYSE,"Insurance - Multi Line","SIC-6331 Fire, Marine & Casualty Insurance"
FIP,"Ftai Infrastructure Inc",NASDAQ,"Real Estate Operations","SIC-4011 Railroads, Line-Haul Operating"
FIS,"Fidelity National Information Services",NYSE,"Financial Transaction Services","SIC-7389 Services-Business Services, NEC"
FISI,"Financial Institut",NASDAQ,"Banks - Northeast","SIC-6021 National Commercial Banks"
FITB,"Fifth Third Bancorp",NASDAQ,"Banks - Major Regional","SIC-6022 State Commercial Banks"
FIVE,"Five Below Inc",NASDAQ,"Retail - Misc & Diversified","SIC-5331 Retail-Variety Stores"
FIVN,"Five9 Inc",NASDAQ,"Internet - Software","SIC-7374 Services-Computer Processing & Data Preparat"
FIX,"Comfort Systems USA",NYSE,"Building Prdcts - Air Heating","SIC-1731 Electrical Work"
FIZZ,"Natl Beverage Corp",NASDAQ,"Beverages - Soft","SIC-2086 Bottled & Canned Soft Drinks & Carbonated Wa"
FL,"Footlocker Inc",NYSE,"Retail - Apparel & Shoes","SIC-5661 Retail-Shoe Stores"
FLGT,"Fulgent Genetics Inc",NASDAQ,"Medical Information Systems","SIC-8071 Services-Medical Laboratories"
FLIC,"First of Long Isla",NASDAQ,"Banks - Northeast","SIC-6021 National Commercial Banks"
FLNC,"Fluence Energy Inc Cl A",NASDAQ,"Other Alt Energy","SIC-3690 Miscellaneous Electrical Machinery, Equipmen"
FLNG,"Flex Lng Ltd",NYSE,"Transportation - Ship","SIC-4400 Water Transportation"
FLO,"Flowers Foods",NYSE,"Food - Misc & Diversified","SIC-2000 Food and Kindred Products"
FLR,"Fluor Corp",NYSE,"Engineering & R&D Services","SIC-1600 Heavy Construction Other Than Bldg Const - C"
FLS,"Flowserve Corp",NYSE,"Machinery - General Industrial","SIC-3561 Pumps & Pumping Equipment"
FLWS,1-800-Flowers.com,NASDAQ,"Retail - Mail Order","SIC-5990 Retail-Retail Stores, NEC"
FLYW,"Flywire Corp Voting",NASDAQ,"Financial Transaction Services","SIC-7389 Services-Business Services, NEC"
FMAO,"Farmers & Merch Banc",NASDAQ,"Banks - Northeast","SIC-6035 Savings Institution, Federally Chartered"
FMBH,"First Mid Ill Bncshr",NASDAQ,"Banks - Northeast","SIC-6022 State Commercial Banks"
FMC,"FMC Corp",NYSE,"Chemical - Diversified","SIC-2800 Chemicals & Allied Products"
FMNB,"Farmers Natl Banc Corp",NASDAQ,"Banks - Midwest","SIC-6022 State Commercial Banks"
FN,Fabrinet,NYSE,"Electronics - Misc Components","SIC-3661 Telephone & Telegraph Apparatus"
FNA,"Paragon 28 Inc",NYSE,"Medical Instruments","SIC-3841 Surgical & Medical Instruments & Apparatus"
FNB,"F.N.B. Corp",NYSE,"Banks - Southeast","SIC-6021 National Commercial Banks"
FND,"Floor & Decor Holdings Inc",NYSE,"Retail - Apparel & Shoes","SIC-5211 Retail-Lumber & Other Building Materials Dea"
FNF,"Fidelity National Financial",NYSE,"Insurance - Proprty & Casualty","SIC-6361 Title Insurance"
FNKO,"Funko Inc Cl A",NASDAQ,"Consumer Prdts - Misc Discr","SIC-3944 Games, Toys & Childrens Vehicles (No Dolls)"
FNLC,"First Bancorp Inc",NASDAQ,"Banks - Northeast","SIC-6021 National Commercial Banks"
FOLD,"Amicus Therapeutics",NASDAQ,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations"
FOR,"Forestar Group Inc",NYSE,"Real Estate Developers","SIC-6500 Real Estate"
FORM,"Formfactor Inc",NASDAQ,"Electronics - Semiconductors","SIC-3674 Semiconductors & Related Devices"
FORR,"Forrester Resrch",NASDAQ,"Computer - Services","SIC-8700 Services-Engineering, Accounting, Research,"
FOUR,"Shift4 Payments Inc",NYSE,"Financial Transaction Services","SIC-7389 Services-Business Services, NEC"
FOX,"Fox Corp Cl B",NASDAQ,"Broadcast - Radio & TV","SIC-4833 Television Broadcasting Stations"
FOXA,"Fox Corp Cl A",NASDAQ,"Broadcast - Radio & TV","SIC-4833 Television Broadcasting Stations"
FOXF,"Fox Factory Corp",NASDAQ,"Auto - Domestic","SIC-3751 Motorcycles, Bicycles & Parts"
FPI,"Farmland Partners Inc",NYSE,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts"
FR,"First Industrial Realty Trust",NYSE,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts"
FRBA,"First Bank",NASDAQ,"Banks - Northeast","SIC-6022 State Commercial Banks"
FRGE,"Forge Global Hldgs Inc",NYSE,"Finance - Misc Services","SIC-6200 Security & Commodity Brokers, Dealers, Excha"
FRME,"First Merchants Corp",NASDAQ,"Banks - Midwest","SIC-6021 National Commercial Banks"
FRPH,"Frp Holdings Inc",NASDAQ,"Real Estate Operations","SIC-6500 Real Estate"
FRPT,"Freshpet Inc CS",NASDAQ,"Food - Misc & Diversified","SIC-2040 Grain Mill Products"
FRSH,"Freshworks Inc Cl A",NASDAQ,"Internet - Software","SIC-7372 Services-Prepackaged Software"
FRST,"Primis Financial Corp",NASDAQ,"Finance - Misc Services","SIC-6022 State Commercial Banks"
FRT,"Federal Realty Investment Trust",NYSE,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts"
FSBC,"Five Star Bancorp",NASDAQ,"Banks - West","SIC-6022 State Commercial Banks"
FSLR,"First Solar Inc",NASDAQ,Solar,"SIC-3674 Semiconductors & Related Devices"
FSLY,"Fastly Inc",NYSE,"Internet - Software","SIC-7372 Services-Prepackaged Software"
FSS,"Federal Signal Corp",NYSE,"Conglomerates - Div Operations","SIC-3711 Motor Vehicles & Passenger Car Bodies"
FTAI,"Ftai Aviation Ltd",NASDAQ,"Aerospace - Defense Equipment","SIC-7350 Services-Miscellaneous Equipment Rental & Le"
FTDR,"Frontdoor Inc",NASDAQ,"Building & Construction - Misc","SIC-7340 Services-To Dwellings & Other Buildings"
FTI,"Technipfmc Plc",NYSE,"Oil - Field Services","SIC-3533 Oil & Gas Field Machinery & Equipment"
FTNT,"Fortinet Inc",NASDAQ,"Internet - Software","SIC-3577 Computer Peripheral Equipment, NEC"
FTRE,"Fortrea Holdings Inc",NASDAQ,"Medical - Biomedical","SIC-8071 Services-Medical Laboratories"
FTV,"Fortive Corp",NYSE,"Electronic Test Equipment","SIC-3823 Industrial Instruments For Measurement, Disp"
FUBO,"Fubotv Inc",NYSE,"Broadcast - Radio & TV","SIC-7812 Services-Motion Picture & Video Tape Product"
